Key,EN,Notes,JP
mokou,Mokou,,妹紅
mima,Mima,,魅魔
kasen,Kasen,,華仙
reimu,Reimu,,霊夢
,,,
shot_camera,Camera,,カメラ
shot_home_laser_exp,Homing Amulet / Persuasion Laser,,誘導アミュレット・封魔レーザ
shot_mima_laser,A View Upon All Creation,,森羅万象を見下ろすもの
shot_mima_trailing,Phantasmic Lasers,,幻想のレーザ
shot_mima_wide,Falling Stars Escaping Death,,死神から逃げる流星
shot_mokou_arrowpather,Flame-Headed Gae Bolg,,炎頭のゲイ・ボルグ
shot_mokou_laser,Electroplasmic Railgun,,電磁投射砲
shot_mokou_narrow,The Flaming Sword of Vengeful Deicide,,執念深い神殺しの炎刀
shot_mokou_sun,The Autophagic Sun Smoldering in the Void,,無で燻る自食の太陽
shot_kasen_narrow,Narrow,,
shot_null,Null Shot,,
shot_reimu_ddcb,Homing Amulets / Persuasion Needles,,誘導アミュレット・封魔針
shot_reimu_laser,Youkai Exterminatifier,,高効力の妖怪退治ショット
