Key,EN,Notes,JP
aya,Aya,,文
aya.replay,,,
aya.tracker,文,,
eraa,Nemo,,無名
eraa.replay,,,
eraa.tracker,不審者,,不審者
kaguyaf,Rabbit?,,謎の兎
kaguyaf.replay,,,
kaguyaf.tracker,不審者,,不審者
kaguya,Kaguya,,輝夜姫
kaguya.replay,,,
kaguya.tracker,輝夜姫,,
kasen,Kasen,,華仙
kasen.practice,Kasen (1),,華仙 (1)
kasen.replay,Kasen-1,,華仙-1
kasen.tracker,華仙,,華仙
kasen2,Kasen,,華仙
kasen2.practice,Kasen (2),,華仙 (2)
kasen2.replay,Kasen-2,,華仙-2
kasen2.tracker,華仙,,華仙
keine,Keine,,慧音
keine.replay,,,
keine.tracker,慧音,,
mima,Mima,,魅魔
mima.replay,,,
mima.tracker,魅魔,,
mokou,Mokou,,妹紅
mokou.replay,,,
mokou.tracker,妹紅,,
reimu,Reimu,,霊夢
reimu.replay,,,
reimu.tracker,霊夢,,
reymoo,Hakurei Presence,,博麗の幽霊
reymoo.replay,Ghost,,
reymoo.tracker,不審者,,不審者
seija,Seija,,正邪
seija.replay,,,
seija.tracker,正邪,,
shinki,Shinki,,神綺
shinki.replay,,,
shinki.tracker,神綺,,
yukari,Yukari,,紫
yukari.replay,,,
yukari.tracker,紫,,
yukariex,Yukari,,紫
yukariex.practice,Yukari (Ex),,紫 (Ex)
yukariex.replay,Yukari-Ex,,紫-Ex
yukariex.tracker,紫,,紫
